No,Condo,Street,Bedrooms,Rent,Floor.Area,Date
1,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,9500,1700 to 1800,Mar-16
2,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,4500,1200 to 1300,Mar-16
3,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4940,1300 to 1400,Mar-16
4,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,1100 to 1200,Mar-16
5,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1000 to 1100,Mar-16
6,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1600 to 1700,Mar-16
7,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4200,1000 to 1100,Mar-16
8,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4200,1000 to 1100,Mar-16
9,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5700,1500 to 1600,Mar-16
10,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8458,1500 to 1600,Mar-16
11,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6000,1700 to 1800,Mar-16
12,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,900 to 1000,Mar-16
13,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4400,1000 to 1100,Mar-16
14,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5500,1200 to 1300,Mar-16
15,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,10000,1800 to 1900,Mar-16
16,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4400,1000 to 1100,Mar-16
17,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5480,1200 to 1300,Mar-16
18,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,1100 to 1200,Mar-16
19,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1000 to 1100,Mar-16
20,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1200 to 1300,Mar-16
21,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5650,1200 to 1300,Mar-16
22,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,14000,2900 to 3000,Mar-16
23,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,7500,1100 to 1200,Mar-16
24,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1800 to 1900,Mar-16
25,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5800,1500 to 1600,Mar-16
26,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,1000 to 1100,Mar-16
27,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6215,1500 to 1600,Mar-16
28,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4000,800 to 900,Mar-16
29,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1700 to 1800,Mar-16
30,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6100,1000 to 1100,Mar-16
31,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4600,900 to 1000,Mar-16
32,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7491,1500 to 1600,Mar-16
33,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5643,1500 to 1600,Mar-16
34,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5433,1200 to 1300,Mar-16
35,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4800,700 to 800,Mar-16
36,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5600,1300 to 1400,Mar-16
37,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,4800,1200 to 1300,Mar-16
38,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,900 to 1000,Mar-16
39,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,9500,2100 to 2200,Mar-16
40,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4800,1000 to 1100,Mar-16
41,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1700 to 1800,Mar-16
42,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,14800,>3000,Mar-16
43,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6000,1500 to 1600,Mar-16
44,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4500,800 to 900,Mar-16
45,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4500,1000 to 1100,Feb-16
46,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5300,1200 to 1300,Feb-16
47,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,900 to 1000,Feb-16
48,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4000,900 to 1000,Feb-16
49,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,9173,1800 to 1900,Feb-16
50,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1700 to 1800,Feb-16
51,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5500,1500 to 1600,Feb-16
52,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7200,1500 to 1600,Feb-16
53,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5643,1200 to 1300,Feb-16
54,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,1,4250,700 to 800,Feb-16
55,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5600,1200 to 1300,Feb-16
56,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1600 to 1700,Feb-16
57,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,11000,2600 to 2700,Feb-16
58,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6900,1500 to 1600,Feb-16
59,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,9200,2100 to 2200,Feb-16
60,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4100,900 to 1000,Feb-16
61,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5500,1600 to 1700,Feb-16
62,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,6000,1000 to 1100,Feb-16
63,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8300,1900 to 2000,Feb-16
64,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6900,1700 to 1800,Feb-16
65,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6500,1500 to 1600,Feb-16
66,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5900,1000 to 1100,Feb-16
67,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6000,1500 to 1600,Feb-16
68,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,16500,>3000,Jan-16
69,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8500,1600 to 1700,Jan-16
70,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7000,1200 to 1300,Jan-16
71,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1700 to 1800,Jan-16
72,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,9300,1800 to 1900,Jan-16
73,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5800,1200 to 1300,Jan-16
74,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,5650,1400 to 1500,Jan-16
75,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7250,1700 to 1800,Jan-16
76,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4800,1100 to 1200,Jan-16
77,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,14000,>3000,Jan-16
78,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,4500,900 to 1000,Jan-16
79,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,8200,1200 to 1300,Jan-16
80,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,7500,1100 to 1200,Jan-16
81,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,4500,1200 to 1300,Jan-16
82,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7000,1700 to 1800,Jan-16
83,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,7350,1300 to 1400,Jan-16
84,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8000,1700 to 1800,Jan-16
85,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5400,1100 to 1200,Jan-16
86,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,7500,1500 to 1600,Jan-16
87,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,4,12500,>3000,Jan-16
88,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,2,5000,900 to 1000,Jan-16
89,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,8500,1800 to 1900,Jan-16
90,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,3,6800,1400 to 1500,Jan-16
